,Date,Price,Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7
0,2016-11-30,2198.81,1604.81,1747.755,1223.065,1046.997,1482.027,2888.8,5157.211
1,2016-11-29,2204.66,1618.66,1754.199,1226.297,1056.146,1485.327,2888.8,5146.42
2,2016-11-28,2201.72,1623.72,1746.585,1228.043,1054.482,1488.624,2904.8,5159.236
3,2016-11-25,2213.35,1627.35,1718.271,1228.255,1028.893,1484.897,2920.8,5168.596
4,2016-11-23,2204.72,1610.72,1719.306,1225.037,1025.879,1481.172,2904.8,5168.15
5,2016-11-22,2202.94,1600.94,1698.003,1222.979,1005.675,1477.451,2920.8,5188.542
6,2016-11-21,2198.18,1604.18,1707.021,1224.414,1016.803,1480.744,2920.8,5187.482
7,2016-11-18,2181.9,1595.9,,1223.893,1029.873,1484.034,2920.8,5197.064
8,2016-11-17,2187.12,1593.12,1695.105,1223.021,1008.006,,2920.8,5201.227
9,2016-11-16,2176.94,1574.94,1704.087,1219.532,1011.109,1476.601,2920.8,5209.589
10,2016-11-15,2180.39,1570.39,1706.652,1218.359,1009.273,1472.888,2920.8,5206.536
11,2016-11-14,2164.2,1546.2,1704.294,1213.844,1003.645,1469.179,2904.8,5214.828
12,2016-11-11,2164.45,1538.45,1697.436,1212.125,,1465.473,2904.8,5218.244
13,2016-11-10,2167.48,1549.48,1704.591,1214.881,1004.25,1468.76,2904.8,5210.015
14,2016-11-09,2163.26,1553.26,1705.905,1216.4,1009.451,1472.044,2904.8,5211.062
15,2016-11-08,2139.56,1521.56,1706.994,1210.595,1006.478,1468.341,2920.8,5245.668
16,2016-11-07,2131.52,1505.52,1700.406,1207.458,997.589,1464.641,2920.8,5257.29
17,2016-11-04,2085.18,1467.18,1709.298,1201.776,1008.631,1467.922,2936.8,5307.811
18,2016-11-03,2088.66,1478.66,1719.504,1204.601,1020.688,1471.199,2952.8,5308.045
19,2016-11-02,2097.94,1479.94,1707.867,1204.419,1007.905,1467.502,2952.8,5304.118
